env_id,model,training_timesteps,n_eval_episodes,mean_reward,std_reward,mean_episode_timesteps,std_episode_timesteps,training_time_seconds
SailboatUpwind-v0,PPO,500000,20,232.9041455,11.652321845767077,2049.6,117.07685285180932,675.0346229076385
SailboatUpwind-v0,PPO,500000,20,-389.48075925,77.7232941542383,2196.95,1183.315434878229,570.0028505325317
SailboatDownwind-v0,PPO,500000,20,247.5658577,231.58882063720057,1597.85,1017.5505819575287,580.9688913822174
