env_id,model,training_timesteps,n_eval_episodes,mean_reward,std_reward,mean_episode_timesteps,std_episode_timesteps,training_time_seconds
SailboatDownwind-v0,PPO,500000,20,322.77773275,26.413572305892515,1166.35,255.6667804615589,646.1328737735748
SailboatDownwind-v0,PPO,500000,20,-531.29371365,203.48550210673275,2349.3,414.0821301702305,622.1985611915588
SailboatDownwind-v0,PPO,500000,20,298.56736755000003,92.57618014343068,767.9,297.41569349454664,623.2198348045349
SailboatDownwind-v0,PPO,500000,20,247.4037171,114.66431550405056,729.15,217.1340296731612,611.6066541671753
SailboatDownwind-v0,PPO,1000000,20,342.8506103,39.66108873527948,558.65,78.77634897540464,1262.1522080898285
SailboatDownwind-v0,PPO,2000000,20,278.33083685,24.940864187419365,701.8,52.92954602209681,2384.7947590351105
SailboatDownwind-v0,PPO,250000,20,-318.3795474,68.87400765987849,2261.6,177.10728238467274,308.05108404159546
SailboatDownwind-v0,PPO,250000,20,-43.4761789,70.42892944745765,110.9,95.86827585697718,302.1022918224335
SailboatDownwind-v0,PPO,1000000,20,69.26779455,217.4018995917529,195.35,184.8658902242949,1248.7598764896393
SailboatDownwind-v0,PPO,1500000,20,18.6366277,192.7485401555854,148.75,166.8752685785341,1875.0473008155825
SailboatDownwind-v0,PPO,2000000,20,-8.1159062,125.96361441033083,151.15,139.48298330469902,2464.381241798401
SailboatDownwind-v0,PPO,500000,20,-1897.9616543,536.5393236805056,1266.0,196.36700333813724,618.0101704597473
SailboatDownwind-v0,PPO,1000000,20,-1767.63859065,268.0757298332906,1211.6,99.66068749300774,1266.6819369792938
