env_id,model,training_timesteps,n_eval_episodes,mean_reward,std_reward,mean_episode_timesteps,std_episode_timesteps,training_time_seconds
SailboatTriangle-v0,PPO,500000,20,848.6588998999999,321.21977361762697,10000.0,0.0,677.1555969715118
SailboatTriangle-v0,PPO,1000000,20,-409.7263198,14.324541952488808,10000.0,0.0,718.909633398056
SailboatTriangle-v0,PPO,500000,20,1172.00601115,95.08023617731295,12936.2,933.7185758821382,709.5322518348694
SailboatTriangle-v0,PPO,1000000,20,1445.10494935,43.191548262550825,10270.6,442.2720524982928,744.6694073677063
SailboatTriangle-v0,PPO,2000000,20,1520.6795244,15.100969981177819,10043.7,296.1676445599865,1464.244338274002
